edge_id,node_a,node_b,s1_star
420,196,198,0.69590115
421,196,201,0.75366184
422,198,201,0.79506734
423,202,203,0.74069032
424,202,205,0.85060557
425,203,205,0.75099779
426,202,204,0.64087105
427,204,205,0.70204504
428,202,206,0.87119583
429,205,206,0.76287265
430,203,204,0.46168338
431,203,206,0.79024246
432,204,206,0.84829075
433,83,95,0.90325175
434,83,96,0.87132459
435,83,173,0.80525249
436,209,210,0.70276727
437,209,211,0.70364734
438,210,211,0.83299349
439,209,212,0.95881216
440,210,212,0.78202267
441,211,212,0.78767768
442,213,214,0.79606031
443,213,215,1.04139148
444,214,215,0.77653479
445,213,216,0.94641752
446,214,216,0.94231650
447,213,217,0.84735400
448,214,217,0.91951593
449,213,218,0.93112099
450,214,218,0.93334787
451,215,216,0.92127509
452,215,217,0.90154323
453,216,217,0.68417226
454,216,218,0.81900956
455,217,218,0.92289493
456,215,218,0.91470361
457,219,220,0.86331507
458,219,221,0.84983030
459,220,221,0.88993596
460,219,222,0.82892044
461,220,222,0.96560510
462,219,223,0.59515719
463,220,223,0.73180418
464,219,224,0.65212612
465,220,224,0.78881328
466,219,225,0.61977085
467,220,225,0.75771868
468,221,222,1.07568042
469,221,223,0.84191718
470,221,224,0.89888610
471,221,225,0.86783635
472,222,223,0.86403721
473,222,224,0.95681182
474,222,225,0.94715406
475,223,224,0.84080864
476,223,225,0.65961655
477,224,225,0.66791994
478,72,226,0.73908067
479,72,227,0.84970281
480,226,227,1.11062381
481,72,228,0.88447666
482,226,228,1.14545873
483,227,228,1.03478011
484,71,229,0.80362964
485,71,230,0.78551631
486,229,230,0.98195821
487,71,231,0.58909020
488,230,231,0.80360055
489,229,231,0.78554540
490,234,235,0.99150312
491,234,236,1.10540754
492,235,236,0.94551277
493,234,237,0.87352740
494,235,237,0.76465675
495,236,237,0.64131536
496,84,238,0.55332710
497,84,239,0.55777802
498,238,239,0.90038927
499,84,240,0.47830485
500,238,240,0.82366558
501,84,241,0.59822985
502,238,241,0.89938340
503,84,242,0.67159282
504,238,242,0.97560783
505,84,243,0.69910217
506,238,243,0.94351465
507,84,244,0.79494497
508,238,244,1.04331217
509,84,245,0.80008323
510,238,245,0.86913294
511,84,246,0.71944029
512,238,246,1.01132682
513,239,240,0.66335566
514,239,241,0.65998517
515,239,242,0.71361960
516,239,243,0.73763328
517,239,244,0.83778435
518,239,245,0.93803490
519,239,246,0.95653567
520,240,241,0.65753514
521,240,242,0.72411229
522,240,243,0.76733500
523,240,244,0.84275464
524,240,245,0.96632052
525,240,246,1.03178717
526,241,245,0.83484069
527,241,246,0.80936531
528,242,245,0.77157265
529,242,246,0.82496113
530,243,245,0.72273810
531,243,246,0.69479388
532,244,245,0.59015859
533,244,246,0.69061922
534,245,246,0.73522609
535,241,242,0.69059416
536,241,243,0.63616285
537,241,244,0.66224160
538,242,243,0.62106703
539,242,244,0.67280964
540,243,244,0.70229137
541,20,64,0.83894480
542,20,65,0.96646173
543,20,247,0.77730162
544,64,247,0.66414112
545,20,248,0.62498345
546,64,248,0.59278793
547,20,249,0.85713164
548,64,249,0.67254919
549,20,250,0.98841924
550,64,250,0.62521756
551,20,251,0.65467340
552,64,251,0.67392037
553,20,252,0.72128527
554,64,252,0.70398437
555,65,250,0.62055000
556,247,250,0.99223734
557,248,250,0.92328224
558,249,250,0.71889453
559,250,251,0.68780520
560,250,252,0.86152304
561,65,247,0.68304389
562,65,248,0.52200907
563,65,249,0.64316597
564,65,251,0.59384826
565,65,252,0.65393246
566,247,248,0.81626739
567,247,249,1.00199224
568,247,251,0.86695888
569,247,252,0.90681657
570,248,249,0.85476320
571,248,251,0.92407051
572,248,252,0.94321566
573,249,251,0.65715628
574,249,252,0.83846594
575,251,252,0.89082512
576,28,255,0.57448719
577,29,255,0.39497590
578,256,257,0.11302789
579,256,258,-0.01769873
580,257,258,0.86931688
581,256,259,-0.09532916
582,257,259,0.79163491
583,258,259,0.78495849
584,190,264,0.81766672
585,190,265,0.77615580
586,264,265,0.60450756
587,190,266,0.75280937
588,264,266,0.64494180
589,190,267,0.89266253
590,264,267,0.83651243
591,190,268,0.82324229
592,264,268,0.71935261
593,265,266,0.61721622
594,265,267,0.75776209
595,265,268,0.59601553
596,266,267,0.79648105
597,266,268,0.67081584
598,267,268,0.50153942
599,16,269,0.46723418
600,16,270,0.45107657
601,269,270,0.72913884
602,247,271,0.75068456
603,247,272,0.82119505
604,271,272,0.73951872
605,247,273,0.77338137
606,272,273,0.66819714
607,271,273,0.65586586
608,134,274,0.48368292
609,134,275,0.55907043
610,274,275,0.79022607
611,134,276,0.59931689
612,274,276,0.87154314
613,134,277,0.61826806
614,274,277,0.83100630
615,134,278,0.77561120
616,274,278,1.04428805
617,134,279,0.67946179
618,274,279,0.86062539
619,275,276,0.81100216
620,275,277,0.67234841
621,275,278,0.95302041
622,276,277,0.80708474
623,276,278,0.86641865
624,276,279,0.75700194
625,277,278,0.93132452
